Provider State,Average Covered Charges
Ohio,$14128.05
Ohio,$19650.07
Ohio,$30076.15
Ohio,$22654.52
Ohio,$28002.46
Ohio,$29258.82
Ohio,$22847.53
Ohio,$36272.88
Ohio,$41630.90
Ohio,$19495.71
Ohio,$29421.14
Ohio,$51405.50
Oklahoma,$22767.52
Oklahoma,$29367.05
Oklahoma,$38192.26
Oklahoma,$30496.52
Oklahoma,$16458.95
Oklahoma,$19518.68
Oklahoma,$18535.12
Oklahoma,$26152.75
Oklahoma,$20634.97
Oklahoma,$17032.06
Oregon,$24885.71
Oregon,$21415.26
Oregon,$32728.45
Oregon,$21741.08
Oregon,$20648.46
Oregon,$33958.90
Oregon,$24736.57
Oregon,$24192.89
Oregon,$25407.85
Oregon,$27706.13
Oregon,$16988.91
Oregon,$21209.04
Pennsylvania,$19793.68
Pennsylvania,$38481.38
Pennsylvania,$40927.28
Pennsylvania,$13645.52
Pennsylvania,$10625.21
Pennsylvania,$20686.66
Pennsylvania,$25911.64
Pennsylvania,$16807.88
Pennsylvania,$46133.88
Pennsylvania,$23118.26
Pennsylvania,$39160.36
Pennsylvania,$46258.04
Pennsylvania,$47562.06
Pennsylvania,$20481.70
Pennsylvania,$13167.19
Pennsylvania,$18478.94
Pennsylvania,$46515.71
Pennsylvania,$15863.27
Pennsylvania,$67320.14
Pennsylvania,$43653.77
Pennsylvania,$34977.55
Pennsylvania,$23006.72
Pennsylvania,$10425.36
Pennsylvania,$20269.05
Pennsylvania,$20142.88
Pennsylvania,$116349.84
Pennsylvania,$59151.90
Pennsylvania,$26107.15
Pennsylvania,$51713.80
Pennsylvania,$20250.00
Pennsylvania,$77177.23
Pennsylvania,$22139.11
Pennsylvania,$26401.54
Pennsylvania,$14979.92
Pennsylvania,$65682.38
Pennsylvania,$23510.00
Pennsylvania,$39054.81
Pennsylvania,$40088.58
Pennsylvania,$18849.21
Pennsylvania,$28563.10
Pennsylvania,$40932.84
Pennsylvania,$16710.30
Pennsylvania,$16022.06
Pennsylvania,$32645.71
Rhode Island,$23619.86
Rhode Island,$23947.55
Rhode Island,$27174.00
South Carolina,$22432.35
South Carolina,$24844.36
South Carolina,$32177.22
South Carolina,$46681.92
South Carolina,$39632.85
South Carolina,$45046.14
South Carolina,$37210.10
South Carolina,$16748.91
South Carolina,$25785.69
South Carolina,$23721.95
South Carolina,$26383.72
South Carolina,$32362.67
South Carolina,$33865.72
South Carolina,$35191.47
South Carolina,$47898.54
South Carolina,$27919.72
South Carolina,$24662.72
South Carolina,$72954.62
South Carolina,$27898.54
South Dakota,$12715.56
South Dakota,$22746.73
South Dakota,$30355.22
South Dakota,$21530.18
Tennessee,$19872.77
Texas,$41376.61
Tennessee,$41660.09
Tennessee,$23726.38
Tennessee,$16276.78
Tennessee,$19589.43
Tennessee,$20252.03
Tennessee,$20155.47
Tennessee,$10904.81
Tennessee,$12203.65
Tennessee,$27194.25
Tennessee,$34467.02
Tennessee,$23096.63
Tennessee,$36575.10
Tennessee,$25551.63
Tennessee,$12781.98
Tennessee,$24760.56
Tennessee,$23494.30
Tennessee,$15979.77
Tennessee,$21246.46
Tennessee,$20183.15
Tennessee,$22338.40
Tennessee,$12799.07
Tennessee,$16534.08
Tennessee,$27863.66
Tennessee,$47979.08
Tennessee,$36221.78
Tennessee,$25569.61
Tennessee,$35070.95
Tennessee,$12664.80
Tennessee,$46509.54
Tennessee,$55503.21
Tennessee,$56329.57
Texas,$12991.76
Texas,$32020.86
Texas,$27721.61
Texas,$29503.50
Texas,$81126.90
Texas,$30502.20
Texas,$28846.34
Texas,$17172.60
Texas,$67464.60
Texas,$17350.93
Texas,$50022.85
Texas,$20865.00
Texas,$19983.09
Texas,$49458.78
Texas,$39253.45
Texas,$16668.25
Texas,$55184.00
Texas,$21921.25
Texas,$27373.31
Texas,$33950.69
Texas,$29223.57
Texas,$25127.69
Texas,$16710.96
Texas,$23441.96
Texas,$20026.30
Texas,$30027.95
Texas,$33762.69
Texas,$20954.37
Texas,$27692.17
Texas,$36196.63
Texas,$41609.76
Texas,$42697.51
Texas,$22869.07
Texas,$18249.95
Texas,$14489.57
Texas,$23601.22
Texas,$33407.72
Texas,$22643.80
Texas,$29074.80
Texas,$26826.65
Texas,$61366.38
Texas,$26752.92
Texas,$22755.75
Texas,$25269.63
Texas,$24938.22
Texas,$35735.80
Texas,$65642.00
Texas,$35184.16
Texas,$22092.28
Texas,$15187.82
Texas,$19231.12
Texas,$11835.57
Texas,$27120.73
Texas,$42658.68
Texas,$40769.87
Texas,$27838.95
Texas,$39673.56
Texas,$44351.78
Texas,$37590.68
Texas,$27147.91
Texas,$31483.21
Texas,$43276.84
Texas,$23768.50
Texas,$34236.63
Texas,$42545.16
Texas,$33780.43
Texas,$18811.20
Texas,$36971.82
Texas,$26987.78
Texas,$16224.38
Texas,$35208.16
Texas,$25440.63
Texas,$26082.26
Texas,$27882.10
Utah,$14939.52
Utah,$20313.76
Utah,$25490.15
